country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website,month_year,year
United States,USA,2022-03-28,560181791.0,255362450.0,217498967.0,14715.0,115261.0,168.72,76.91,65.51,347.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://data.cdc.gov/Vaccinations/COVID-19-Vaccination-Trends-in-the-United-States-N/rh2h-3yt2,2022-03,2022
Uruguay,URY,2022-03-29,8027751.0,2972777.0,2842482.0,10477.0,10097.0,230.34,85.3,81.56,2897.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health via vacuna.uy,https://monitor.uruguaysevacuna.gub.uy/,2022-03,2022
Uzbekistan,UZB,2022-03-13,44177104.0,18633103.0,13852504.0,145313.0,87506.0,130.18,54.91,40.82,2579.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik Light, Sputnik V, ZF2001",World Health Organization,https://covid19.who.int/,2022-03,2022
Vanuatu,VUT,2022-02-28,199464.0,114284.0,85180.0,,1475.0,63.43,36.34,27.09,4691.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2022-02,2022
Venezuela,VEN,2022-03-25,37860994.0,22157232.0,14287370.0,,0.0,131.9,77.19,49.77,0.0,"Abdala, Sinopharm/Beijing, Sinovac, Soberana02, Sputnik Light, Sputnik V",Pan American Health Organization,https://covid19.who.int/,2022-03,2022
Vietnam,VNM,2022-03-22,203144374.0,79947189.0,77754108.0,1115043.0,344931.0,206.93,81.44,79.2,3514.0,"Abdala, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.gov.vn/ngay-23-3-so-mac-moi-covid-19-giam-con-127883-ca-tuyen-quang-bo-sung-gan-13000-f0-171220323181603013.htm,2022-03,2022
Wales,OWID_WLS,2022-03-28,6927437.0,2528664.0,2399341.0,2254.0,1609.0,218.53,79.77,75.69,508.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations,2022-03,2022
Wallis and Futuna,WLF,2022-03-28,13073.0,0.0,0.0,,19.0,117.84,58.44,58.2,1713.0,Moderna,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2022-03,2022
Yemen,YEM,2022-03-16,807502.0,643501.0,404781.0,,2271.0,2.65,2.11,1.33,74.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",World Health Organization,https://covid19.who.int/,2022-03,2022
Zambia,ZMB,2022-03-29,3402612.0,0.0,2182849.0,12073.0,13650.0,17.98,14.96,11.54,721.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",Government of Zambia,https://rtc-planning.maps.arcgis.com/apps/dashboards/3b3a01c1d8444932ba075fb44b119b63,2022-03,2022
Zimbabwe,ZWE,2022-03-29,9039729.0,5053114.0,3510256.0,105369.0,103751.0,59.9,33.48,23.26,6874.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Ministry of Health,https://www.arcgis.com/home/webmap/viewer.html?url=https://services9.arcgis.com/DnERH4rcjw7NU6lv/ArcGIS/rest/services/Vaccine_Distribution_Program/FeatureServer&source=sd,2022-03,2022
